sample,group
CK_L_10_R1,CK_L_10
CK_L_10_R2,CK_L_10
CK_L_10_R3,CK_L_10
CK_L_3_R1,CK_L_3
CK_L_3_R2,CK_L_3
CK_R_10_R1,CK_R_10
CK_R_10_R2,CK_R_10
CK_R_10_R3,CK_R_10
CK_R_3_R1,CK_R_3
CK_R_3_R2,CK_R_3
CK_R_3_R3,CK_R_3
CK_S_10_R1,CK_S_10
CK_S_10_R2,CK_S_10
CK_S_10_R3,CK_S_10
CK_S_3_R1,CK_S_3
CK_S_3_R2,CK_S_3
CK_S_3_R3,CK_S_3
T10_L_10_R1,T10_L_10
T10_L_10_R2,T10_L_10
T10_L_10_R3,T10_L_10
T10_L_3_R1,T10_L_3
T10_L_3_R2,T10_L_3
T10_L_3_R3,T10_L_3
T10_R_10_R1,T10_R_10
T10_R_10_R2,T10_R_10
T10_R_10_R3,T10_R_10
T10_R_3_R1,T10_R_3
T10_R_3_R2,T10_R_3
T10_R_3_R3,T10_R_3
T10_S_10_R1,T10_S_10
T10_S_10_R2,T10_S_10
T10_S_10_R3,T10_S_10
T10_S_3_R1,T10_S_3
T10_S_3_R2,T10_S_3
T10_S_3_R3,T10_S_3
T20_L_10_R1,T20_L_10
T20_L_10_R2,T20_L_10
T20_L_10_R3,T20_L_10
T20_L_3_R1,T20_L_3
T20_L_3_R2,T20_L_3
T20_L_3_R3,T20_L_3
T20_R_10_R1,T20_R_10
T20_R_10_R2,T20_R_10
T20_R_10_R3,T20_R_10
T20_R_3_R1,T20_R_3
T20_R_3_R2,T20_R_3
T20_R_3_R3,T20_R_3
T20_S_10_R1,T20_S_10
T20_S_10_R2,T20_S_10
T20_S_10_R3,T20_S_10
T20_S_3_R1,T20_S_3
T20_S_3_R2,T20_S_3
T20_S_3_R3,T20_S_3
